"","a","b","c","country"
"96",310,0.196192503008723,32.2975689377913,"New Zealand"
"97",88,0.241443362100132,22.03451029819,"Nigeria"
"98",296,0.227670869100621,30.3696335542263,"North Macedonia"
"99",5726,0.294783404547352,24.9623186262954,"Norway"
"100",168,0.123491947643381,33.5827273994015,"Oman"
"101",1944,0.273170114915304,29.626901680246,"Pakistan"
"102",362.25,0.485480403327284,10.712619291414,"Panama"
"103",54,0.232858434149627,16.9290751311455,"Paraguay"
"104",832,0.374439376698385,17.4924432096977,"Peru"
"105",1104,0.233453496662616,31.2511790612854,"Philippines"
"106",1802,0.359301169984673,19.9559163030705,"Poland"
"107",4724,0.345882150061141,22.7495208340771,"Portugal"
"108",1052,0.307541164786126,20.9667550977426,"Qatar"
"109",1588,0.269222017476252,28.7834517118918,"Romania"
