"","a","b","c","country"
"41",9564,0.140190185746027,54.6758114071433,"Egypt"
"42",516,0.107895115927534,51.3882286406223,"Equatorial Guinea"
"43",3294,0.137439982250079,49.1553001265749,"Estonia"
"44",130,0.0927231260467883,50.8083159699171,"Eswatini"
"45",248,0.109188550046693,40.5757575490935,"Ethiopia"
"46",9390,0.143749614420294,55.1414801635775,"Finland"
"47",331926,0.149296343989723,85.012872357172,"France"
"48",422,0.13668322706833,44.0573237584501,"Gabon"
"49",994,0.107185207483944,56.1441276295483,"Georgia"
"50",317516,0.151695569313713,80.4236031435863,"Germany"
"51",3100,0.138737568782976,42.3240035364766,"Ghana"
"52",5068,0.118253392393611,50.1891459749137,"Greece"
"53",1060,0.126262846901011,44.7675144999193,"Guatemala"
"54",2326,0.194515381043884,43.0067623431113,"Guinea"
"55",148,0.0992340535604402,42.299693655377,"Guyana"
"56",16,0.0564785688261112,26.980226477023,"Holy See"
"57",1182,0.138132666352441,40.2964943109763,"Honduras"
"58",5166,0.140073147428944,48.4784161723135,"Hungary"
"59",3584,0.113076360397704,46.886333669514,"Iceland"
"60",58902,0.135242373165225,89.7295379730138,"India"
"61",18192,0.155995750261415,49.8191587242335,"Indonesia"
"62",91473.4226715914,0.169026880934117,41.9745488797246,"Iran"
"63",3694,0.107789978983804,55.2805794368344,"Iraq"
"64",39296,0.172289936561905,50.8111843376103,"Ireland"
"65",31110,0.167719400676147,55.8548562437225,"Israel"
"66",398828,0.168938031330571,72.2496329535938,"Italy"
"67",728,0.0985073742790835,51.050595458713,"Jamaica"
"68",15344.244662172,0.0973229965450943,83.6846764213531,"Japan"
"69",898,0.102745433103166,36.4429109877433,"Jordan"
"70",2913.46273570787,0.171175138381018,33.1059597206298,"Kazakhstan"
"71",726,0.134423764449975,39.9102705086633,"Kenya"
"72",35844,0.0990317376118202,83.1412204558195,"Korea, South"
"73",3525.30238142886,0.10329665889756,54.4375893517722,"Kuwait"
"74",1390,0.133867083622429,35.7981492278515,"Kyrgyzstan"
"75",1636,0.132685730072429,46.0865326610475,"Latvia"
"76",1420,0.110816408772287,53.7603508729004,"Lebanon"
"77",248,0.138778553430712,40.742268419206,"Liberia"
"78",204,0.074893613120088,40.7771725250935,"Liechtenstein"
"79",2898,0.1483672509927,41.291784321485,"Lithuania"
"80",7458,0.168876740324369,46.0994340964254,"Luxembourg"
"81",11640,0.0982659959439897,85.6073060939069,"Malaysia"
"82",452,0.0590577378152582,75.9237864370876,"Maldives"
"83",900,0.106482273515522,42.5815041622562,"Malta"
"84",106,0.266622841917951,17.7558906075703,"Martinique"
"85",14,0.0590919351243011,34.476782655654,"Mauritania"
"86",668,0.105651689087941,31.5493925784668,"Mauritius"
"87",31058,0.167545008067344,56.3472597757486,"Mexico"
"88",6962,0.161678371298461,44.8110171264897,"Moldova"
"89",190,0.105057331156969,38.9883349870782,"Monaco"
"90",76,0.0829675315333121,44.4991592356913,"Mongolia"
"91",321.288702070945,0.234636592741229,18.1114210704355,"Montenegro"
"92",8240,0.166911627716357,50.2945026719026,"Morocco"
"93",28,0.06769323812535,29.7569136498644,"Namibia"
"94",104,0.110742994894161,40.2192452571276,"Nepal"
"95",76880,0.153144485523481,50.515586876858,"Netherlands"
"96",2944,0.158955379837291,48.8366025846174,"New Zealand"
"97",2674,0.15303814761922,50.1053487103326,"Nigeria"
"98",2798,0.148471846946917,53.4907800197402,"North Macedonia"
"99",15198,0.12018952935594,48.8802871845613,"Norway"
"100",4098,0.115844456321389,63.2229293318705,"Oman"
"101",27830,0.165763501951666,55.4190692257566,"Pakistan"
"102",6030.52529401679,0.186516216958354,32.3184103307898,"Panama"
"103",456,0.112330026833558,43.7568671704834,"Paraguay"
"104",50662,0.184313755994956,48.0837795033594,"Peru"
"105",15554,0.128948786651951,83.9430504093172,"Philippines"
"106",23804,0.158412551511098,46.9442254465691,"Poland"
"107",48054,0.168193893889878,46.9695327046929,"Portugal"
